,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,18-29 Age Estimate,18-29 Age Percent of total,30-44 Age Estimate,30-44 Age Percent of total,45-64 Age Estimate,45-64 Age Percent of total,65+ Age Estimate,65+ Age Percent of total
417,WA-4,WA,Washington,4,443137,101079,22.8,104005,23.5,139372,31.5,98681,22.3
418,WA-5,WA,Washington,5,551532,128261,23.3,125417,22.7,173298,31.4,124556,22.6
419,WA-6,WA,Washington,6,570991,105695,18.5,133343,23.4,185911,32.6,146042,25.6
420,WA-7,WA,Washington,7,600321,143720,23.9,177404,29.6,169461,28.2,109736,18.3
421,WA-8,WA,Washington,8,522952,90974,17.4,129726,24.8,201383,38.5,100869,19.3
422,WA-9,WA,Washington,9,499184,104339,20.9,134537,27.0,163081,32.7,97227,19.5
423,WA-10,WA,Washington,10,544552,127027,23.3,139911,25.7,168782,31.0,108832,20.0
424,WV-1,WV,West Virginia,1,486327,101752,20.9,104414,21.5,159942,32.9,120219,24.7
425,WV-2,WV,West Virginia,2,487208,85419,17.5,110323,22.6,172084,35.3,119382,24.5
426,WV-3,WV,West Virginia,3,457623,80052,17.5,100024,21.9,157192,34.3,120355,26.3
427,WI-1,WI,Wisconsin,1,539789,97284,18.0,122993,22.8,202358,37.5,117154,21.7
428,WI-2,WI,Wisconsin,2,577976,140415,24.3,138504,24.0,184902,32.0,114155,19.8
429,WI-3,WI,Wisconsin,3,566700,132563,23.4,118693,20.9,186191,32.9,129253,22.8
430,WI-4,WI,Wisconsin,4,493143,130598,26.5,127685,25.9,150055,30.4,84805,17.2
431,WI-5,WI,Wisconsin,5,558805,98106,17.6,131851,23.6,197688,35.4,131160,23.5
432,WI-6,WI,Wisconsin,6,556485,102408,18.4,122332,22.0,200105,36.0,131640,23.7
433,WI-7,WI,Wisconsin,7,552651,86048,15.6,115957,21.0,206377,37.3,144269,26.1
434,WI-8,WI,Wisconsin,8,556205,101057,18.2,128912,23.2,200720,36.1,125516,22.6
435,WY-At-large,WY,Wyoming,At-large,433644,86967,20.1,106361,24.5,144337,33.3,95979,22.1
